ACC_HOL_NAME ACCOUNT_NO----- PIN_NO---- CURRENT_BALANCE
JYOTHSNA_VADLAMUDI---- 123456789012345 1212123434 100000
VEDAMRUTHA_KOTIREDDY-- 123456789012346 1234567891 107000
NEHASAI--------------- 123456789012347 1234567892 102000
JIGYASA_TIWARI-------- 123456789012348 1234567893 102000
VAMSI_KRISHNA--------- 123456789012349 1234567894 102000
SRIMAN_NARAYANA------- 123456789012340 1234567895 102000
RAMA_DEVI------------- 123456789012365 1234567896 102000
VENKATESWARLU--------- 123456789012375 1234566666 102000
RAMA_KRISHNA---------- 123456789012385 1234567898 108456
RADHA_KRISHNA--------- 123456789012395 1234567899 105000
JAHNAVI_KOMALI 123412347890234 1209120912 2000
JYOTHSNA_VENNELA 123123123123123 1231231231 2000
RAJYA_LAKSHMI 123451234512345 1234512345 20988454
